node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
target_BIN1,Target,BIN1,,bridging integrator 1,ENSG00000136717,protein_coding,0.5547057890274468,0.166263,0.207829,47.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SLC6A3,Target,SLC6A3,,solute carrier family 6 member 3,ENSG00000142319,protein_coding,0.5539395717319444,0.165695,0.207118,48.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GSK3B,Target,GSK3B,,glycogen synthase kinase 3 beta,ENSG00000082701,protein_coding,0.5534786397885884,0.165353,0.206691,49.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDKN2B,Target,CDKN2B,,cyclin dependent kinase inhibitor 2B,ENSG00000147883,protein_coding,0.5531421294534669,0.165103,0.206379,50.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDKN1A,Target,CDKN1A,,cyclin dependent kinase inhibitor 1A,ENSG00000124762,protein_coding,0.5503043842101816,0.162997,0.203746,51.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NCK2,Target,NCK2,,NCK adaptor protein 2,ENSG00000071051,protein_coding,0.5487826684396903,0.161868,0.202335,52.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_PSAP,Target,PSAP,,prosaposin,ENSG00000197746,protein_coding,0.5479043693118749,0.161216,0.20152,53.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_PLK1,Target,PLK1,,polo like kinase 1,ENSG00000166851,protein_coding,0.5419833466167745,0.156822,0.196027,54.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDK4,Target,CDK4,,cyclin dependent kinase 4,ENSG00000135446,protein_coding,0.5419430517035931,0.156792,0.19599,55.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SMPD1,Target,SMPD1,,sphingomyelin phosphodiesterase 1,ENSG00000166311,protein_coding,0.5416821779169125,0.156598,0.195748,56.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SCARB1,Target,SCARB1,,scavenger receptor class B member 1,ENSG00000073060,protein_coding,0.5345305649908763,0.151291,0.189114,57.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_AXL,Target,AXL,,AXL receptor tyrosine kinase,ENSG00000167601,protein_coding,0.5344078071045751,0.1512,0.189,58.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,moderate,not_detected,,,,,,,,,,,,
target_NDUFS5,Target,NDUFS5,,NADH:ubiquinone oxidoreductase subunit S5,ENSG00000168653,protein_coding,0.5339588476632112,0.150867,0.188584,59.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_HTR1A,Target,HTR1A,,5-hydroxytryptamine receptor 1A,ENSG00000178394,protein_coding,0.5290229308192081,0.147204,0.184005,60.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_AURKB,Target,AURKB,,aurora kinase B,ENSG00000178999,protein_coding,0.5287759633031683,0.147021,0.183776,61.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFA8,Target,NDUFA8,,NADH:ubiquinone oxidoreductase subunit A8,ENSG00000119421,protein_coding,0.5284709157316196,0.146794,0.183493,62.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFV2,Target,NDUFV2,,NADH:ubiquinone oxidoreductase core subunit V2,ENSG00000178127,protein_coding,0.5277532415855091,0.146262,0.182827,63.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_LSM6,Target,LSM6,,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",ENSG00000164167,protein_coding,0.5268771472813407,0.145612,0.182014,64.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_MTMR3,Target,MTMR3,,myotubularin related protein 3,ENSG00000100330,protein_coding,0.5262820110553627,0.14517,0.181462,65.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SLC6A2,Target,SLC6A2,,solute carrier family 6 member 2,ENSG00000103546,protein_coding,0.5253338035950694,0.144466,0.180583,66.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDKN2A,Target,CDKN2A,,cyclin dependent kinase inhibitor 2A,ENSG00000147889,protein_coding,0.5252849051254936,0.14443,0.180537,67.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDKN1C,Target,CDKN1C,,cyclin dependent kinase inhibitor 1C,ENSG00000129757,protein_coding,0.5250486731811728,0.144255,0.180318,68.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
