target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000141499,WRAP53,WD repeat containing antisense to TP53,protein_coding,0.4486477754083084,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000160551,TAOK1,TAO kinase 1,protein_coding,0.4483204068100044,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000167792,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,protein_coding,0.4478003542604742,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000167447,SMG8,SMG8 nonsense mediated mRNA decay factor,protein_coding,0.4471290290115444,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000085514,PILRA,paired immunoglobin like type 2 receptor alpha,protein_coding,0.446425426458706,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000205339,IPO7,importin 7,protein_coding,0.4454416451870511,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000180530,NRIP1,nuclear receptor interacting protein 1,protein_coding,0.4447686096151935,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000156471,PTDSS1,phosphatidylserine synthase 1,protein_coding,0.4438498804381088,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000157368,IL34,interleukin 34,protein_coding,0.4419147209240727,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000065518,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,protein_coding,0.4398199662549898,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000145604,SKP2,S-phase kinase associated protein 2,protein_coding,0.4375669089055466,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000137275,RIPK1,receptor interacting serine/threonine kinase 1,protein_coding,0.4374567698195933,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,protein_coding,0.4368866031626134,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000108798,ABI3,ABI family member 3,protein_coding,0.4368560009612777,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000104549,SQLE,squalene epoxidase,protein_coding,0.4367586642314331,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000181467,RAP2B,"RAP2B, member of RAS oncogene family",protein_coding,0.4365547280618806,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000181029,TRAPPC5,trafficking protein particle complex subunit 5,protein_coding,0.4347519295921756,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000152904,GGPS1,geranylgeranyl diphosphate synthase 1,protein_coding,0.4347443340030078,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000134853,PDGFRA,platelet derived growth factor receptor alpha,protein_coding,0.4344196262566399,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000104043,ATP8B4,ATPase phospholipid transporting 8B4 (putative),protein_coding,0.4338584595907351,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000179218,CALR,calreticulin,protein_coding,0.4298642185878049,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000130202,NECTIN2,nectin cell adhesion molecule 2,protein_coding,0.4295916112955035,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000145741,BTF3,basic transcription factor 3,protein_coding,0.4295736073846416,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000010322,NISCH,nischarin,protein_coding,0.4270989636257116,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000090060,PAPOLA,poly(A) polymerase alpha,protein_coding,0.4268370269495066,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000030066,NUP160,nucleoporin 160,protein_coding,0.426506910931603,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000150712,MTMR12,myotubularin related protein 12,protein_coding,0.4253095050669199,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000163788,SNRK,SNF related kinase,protein_coding,0.4247704598167648,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000143171,RXRG,retinoid X receptor gamma,protein_coding,0.4244641722495671,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000102468,HTR2A,5-hydroxytryptamine receptor 2A,protein_coding,0.42380304595372,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000115112,TFCP2L1,transcription factor CP2 like 1,protein_coding,0.4236649230410255,0,0,0,0,0,low,not_detected,checked_zero_mentions
