source,target,edge_type,association_score,evidence_source,target_symbol,paper_id,nct_id,topic_id,topic_score,lit_label,trial_label
alzheimers_disease,target_ADRA1B,disease_target_evidence,0.4085001119780113,Open Targets,,,,,,,
alzheimers_disease,target_MMP25,disease_target_evidence,0.4082922528657468,Open Targets,,,,,,,
alzheimers_disease,target_QPCT,disease_target_evidence,0.4051419086426055,Open Targets,,,,,,,
alzheimers_disease,target_MOB3B,disease_target_evidence,0.4042811916258526,Open Targets,,,,,,,
alzheimers_disease,target_PTGS2,disease_target_evidence,0.4035408132699506,Open Targets,,,,,,,
alzheimers_disease,target_PDE4B,disease_target_evidence,0.4030723216307156,Open Targets,,,,,,,
alzheimers_disease,target_MAK,disease_target_evidence,0.4029718928579058,Open Targets,,,,,,,
alzheimers_disease,target_CDH13,disease_target_evidence,0.4027720462129512,Open Targets,,,,,,,
alzheimers_disease,target_DLD,disease_target_evidence,0.402302758914465,Open Targets,,,,,,,
alzheimers_disease,target_ING3,disease_target_evidence,0.4022551619305217,Open Targets,,,,,,,
alzheimers_disease,target_FBXL22,disease_target_evidence,0.4002942398742502,Open Targets,,,,,,,
alzheimers_disease,target_APH1A,disease_target_evidence,0.4001322170938158,Open Targets,,,,,,,
alzheimers_disease,target_ELOVL7,disease_target_evidence,0.3996132613206611,Open Targets,,,,,,,
alzheimers_disease,target_BRD2,disease_target_evidence,0.3993750800684569,Open Targets,,,,,,,
alzheimers_disease,target_MRPS27,disease_target_evidence,0.3990445841661311,Open Targets,,,,,,,
alzheimers_disease,target_CREB1,disease_target_evidence,0.3978902718085687,Open Targets,,,,,,,
alzheimers_disease,target_MTMR10,disease_target_evidence,0.3977625482383899,Open Targets,,,,,,,
alzheimers_disease,target_KAT5,disease_target_evidence,0.3969319892464673,Open Targets,,,,,,,
alzheimers_disease,target_TSPO,disease_target_evidence,0.3955788313235772,Open Targets,,,,,,,
alzheimers_disease,target_USP6NL,disease_target_evidence,0.3954354931965726,Open Targets,,,,,,,
alzheimers_disease,target_GABRB1,disease_target_evidence,0.395116580946711,Open Targets,,,,,,,
alzheimers_disease,target_EGFR,disease_target_evidence,0.3947339723918066,Open Targets,,,,,,,
alzheimers_disease,target_TSPOAP1,disease_target_evidence,0.3946112765967388,Open Targets,,,,,,,
alzheimers_disease,target_ADRA1A,disease_target_evidence,0.3928133293392252,Open Targets,,,,,,,
alzheimers_disease,target_RELA,disease_target_evidence,0.3927377590756798,Open Targets,,,,,,,
