approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
CREB3L3,269,0.11255539477121146,0.0,0.0,0.0,0.045022,0.056278,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MINDY2,270,0.11002607671746101,0.0,0.0,0.0,0.04401,0.055013,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CNTNAP2,271,0.10935968678811003,0.0,0.0,0.0,0.043744,0.05468,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PECAM1,272,0.10854130392245409,0.0,0.0,0.0,0.043417,0.054271,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NCSTN,273,0.10828911844501343,0.0,0.0,0.0,0.043316,0.054145,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PDE9A,274,0.1077755270850812,0.0,0.0,0.0,0.04311,0.053888,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
GLIS3,275,0.10709319690187735,0.0,0.0,0.0,0.042837,0.053547,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
JUN,276,0.10704906373415435,0.0,0.0,0.0,0.04282,0.053525,Low gap signal,Checked-zero text signal,checked_zero_mentions,moderate
LMNA,277,0.10655873008642947,0.0,0.0,0.0,0.042623,0.053279,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ZNF629,278,0.10555821740304583,0.0,0.0,0.0,0.042223,0.052779,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
COG8,279,0.105084260724994,0.0,0.0,0.0,0.042034,0.052542,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PRDX1,280,0.10470593616542878,0.0,0.0,0.0,0.041882,0.052353,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ULK1,281,0.10410152209517576,0.0,0.0,0.0,0.041641,0.052051,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CAPN2,282,0.10371968633173956,0.0,0.0,0.0,0.041488,0.05186,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
FLNA,283,0.10322978839950414,0.0,0.0,0.0,0.041292,0.051615,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NOC3L,284,0.10198476200673345,0.0,0.0,0.0,0.040794,0.050992,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CTSL,285,0.09995408980107967,0.0,0.0,0.0,0.039982,0.049977,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PSENEN,286,0.09941000136399614,0.0,0.0,0.0,0.039764,0.049705,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
