target_id,approved_symbol,approved_name,biotype,association_score,datasource_scores,disease_id,disease_name,ds_clinical_precedence,ds_uniprot_variants,ds_eva,ds_gwas_credible_sets,ds_orphanet,ds_uniprot_literature,ds_genomics_england,ds_reactome,ds_europepmc,ds_impc,ds_expression_atlas,ds_crispr_screen,ds_gene_burden
ENSG00000198087,CD2AP,CD2 associated protein,protein_coding,0.5188400429995826,"{""gwas_credible_sets"": 0.8074212452292436, ""europepmc"": 0.9206245674257773}",MONDO_0004975,Alzheimer disease,,,,0.8074212452292436,,,,,0.9206245674257773,,,,
ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,protein_coding,0.5183860713313272,"{""crispr_screen"": 0.8193144806235529, ""europepmc"": 0.6486591694859206, ""expression_atlas"": 0.04312285109460208}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.6486591694859206,,0.04312285109460208,0.8193144806235529,
ENSG00000114573,ATP6V1A,ATPase H+ transporting V1 subunit A,protein_coding,0.5182959504544525,"{""crispr_screen"": 0.8193144806235529, ""europepmc"": 0.6544968528832765, ""expression_atlas"": 0.023317173481998715}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.6544968528832765,,0.023317173481998715,0.8193144806235529,
ENSG00000184160,ADRA2C,adrenoceptor alpha 2C,protein_coding,0.5163074785207125,"{""clinical_precedence"": 0.8461452889807548, ""europepmc"": 0.06282616715024955}",MONDO_0004975,Alzheimer disease,0.8461452889807548,,,,,,,,0.06282616715024955,,,,
ENSG00000087586,AURKA,aurora kinase A,protein_coding,0.5155270888510811,"{""crispr_screen"": 0.8199990055713176, ""europepmc"": 0.5600782003562863}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.5600782003562863,,,0.8199990055713176,
ENSG00000150594,ADRA2A,adrenoceptor alpha 2A,protein_coding,0.5118463597412175,"{""clinical_precedence"": 0.8376903849599844, ""europepmc"": 0.08516021465199891}",MONDO_0004975,Alzheimer disease,0.8376903849599844,,,,,,,,0.08516021465199891,,,,
ENSG00000005381,MPO,myeloperoxidase,protein_coding,0.5117547282373773,"{""eva"": 0.7997544896735449, ""europepmc"": 0.8408635830617334}",MONDO_0004975,Alzheimer disease,,,0.7997544896735449,,,,,,0.8408635830617334,,,,
ENSG00000158864,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,protein_coding,0.5110539411128694,"{""crispr_screen"": 0.8367191093983722, ""europepmc"": 0.07851635642767549}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.07851635642767549,,,0.8367191093983722,
ENSG00000087589,CASS4,Cas scaffold protein family member 4,protein_coding,0.5104872560249373,"{""gwas_credible_sets"": 0.827098722275802, ""europepmc"": 0.2522810200892453}",MONDO_0004975,Alzheimer disease,,,,0.827098722275802,,,,,0.2522810200892453,,,,
ENSG00000165646,SLC18A2,solute carrier family 18 member A2,protein_coding,0.5094579284886787,"{""crispr_screen"": 0.6776205552319882, ""clinical_precedence"": 0.607930797611621, ""europepmc"": 0.3787358853715967}",MONDO_0004975,Alzheimer disease,0.607930797611621,,,,,,,,0.3787358853715967,,,0.6776205552319882,
ENSG00000115020,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",protein_coding,0.5089489781100042,"{""crispr_screen"": 0.8169432867688655, ""europepmc"": 0.3925271224000752, ""expression_atlas"": 0.027575101239446696}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.3925271224000752,,0.027575101239446696,0.8169432867688655,
ENSG00000164615,CAMLG,calcium modulating ligand,protein_coding,0.5075988192398417,"{""crispr_screen"": 0.812924022683325, ""europepmc"": 0.44074982826842524}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.44074982826842524,,,0.812924022683325,
ENSG00000139180,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,protein_coding,0.5062203596018111,"{""crispr_screen"": 0.8234818375951567, ""europepmc"": 0.18424430135490052}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.18424430135490052,,,0.8234818375951567,
ENSG00000103510,KAT8,lysine acetyltransferase 8,protein_coding,0.5057098773322191,"{""crispr_screen"": 0.7599134970145264, ""gwas_credible_sets"": 0.24308331585756732, ""europepmc"": 0.5026509950853078}",MONDO_0004975,Alzheimer disease,,,,0.24308331585756732,,,,,0.5026509950853078,,,0.7599134970145264,
ENSG00000131408,NR1H2,nuclear receptor subfamily 1 group H member 2,protein_coding,0.5047494233888233,"{""crispr_screen"": 0.8256025897745858, ""europepmc"": 0.09343769021400422}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.09343769021400422,,,0.8256025897745858,
ENSG00000113712,CSNK1A1,casein kinase 1 alpha 1,protein_coding,0.5040365578291959,"{""crispr_screen"": 0.8162783847527069, ""europepmc"": 0.23222896868996745, ""expression_atlas"": 0.05454141221640363}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.23222896868996745,,0.05454141221640363,0.8162783847527069,
ENSG00000023516,AKAP11,A-kinase anchoring protein 11,protein_coding,0.5030645574681958,"{""crispr_screen"": 0.8268950669853377, ""europepmc"": 0.012158615952232422}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.012158615952232422,,,0.8268950669853377,
ENSG00000120539,MASTL,microtubule associated serine/threonine kinase like,protein_coding,0.5030392466541774,"{""crispr_screen"": 0.8274613634158176}",MONDO_0004975,Alzheimer disease,,,,,,,,,,,,0.8274613634158176,
ENSG00000143374,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",protein_coding,0.5030392466541774,"{""crispr_screen"": 0.8274613634158176}",MONDO_0004975,Alzheimer disease,,,,,,,,,,,,0.8274613634158176,
